央 视,#genre#
重庆卫视,https://live.goodiptv.club/api/bestv.php?id=cqws8m/8000000
东南卫视,https://live.goodiptv.club/api/bestv.php?id=dnwshd8m/8000000
云南卫视,https://live.goodiptv.club/api/bestv.php?id=ynwshd8m/8000000
贵州卫视,https://live.goodiptv.club/api/bestv.php?id=gzwshd8m/8000000
海南卫视,https://live.goodiptv.club/api/bestv.php?id=hainanwshd8m/8000000
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
宁夏卫视,https://hls.ningxiahuangheyun.com/tv/nxws.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
安多卫视,http://stream.qhbtv.com/adws/playlist.m3u8?fbl=
青海卫视,http://stream.qhbtv.com/qhws/playlist.m3u8?fbl=
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8?fbl=
延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8?&fbl=
浙江频道,#genre#
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
西安台,#genre#
西安,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225668/index.m3u8
西安丝路频道,http://111.20.33.70/PLTV/88888893/224/3221226370/index.m3u8
西安影视频道,http://111.20.33.70/PLTV/88888893/224/3221226369/index.m3u8
西安商务资讯,http://111.20.33.70/PLTV/88888893/224/3221226368/index.m3u8
西安都市频道,http://111.20.33.70/PLTV/88888893/224/3221226367/index.m3u8
西安新闻综合,http://111.20.33.70/PLTV/88888893/224/3221226366/index.m3u8
西安教育,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226037/index.m3u8
ETV西安教育电视台,http://111.20.33.70/PLTV/88888893/224/3221226371/index.m3u8
陕西,#genre#
陕西卫视,http://111.20.33.70/PLTV/88888893/224/3221226388/index.m3u8
陕西卫视,http://111.20.33.70/PLTV/88888893/224/3221225821/index.m3u8
陕西卫视,http://111.20.33.70/PLTV/88888893/224/3221226246/index.m3u8
生活,http://111.20.33.70/PLTV/88888893/224/3221226359/index.m3u8
陕西生活,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225531/index.m3u8
新闻资讯,http://111.20.33.70/PLTV/88888893/224/3221226357/index.m3u8
都市青春,http://111.20.33.70/PLTV/88888893/224/3221226358/index.m3u8
影视,http://111.20.33.70/PLTV/88888893/224/3221226360/index.m3u8
公共,http://111.20.33.70/PLTV/88888893/224/3221226361/index.m3u8
陕西影视,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225532/index.m3u8
陕西新闻,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225639/index.m3u8
陕西公共,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225533/index.m3u8
乐家购物,http://111.20.33.70/PLTV/88888893/224/3221226362/index.m3u8
体育休闲,http://111.20.33.70/PLTV/88888893/224/3221226363/index.m3u8
陕西体育休闲,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225535/index.m3u8
西部电影,http://111.20.33.70/PLTV/88888893/224/3221226364/index.m3u8
西乡融媒,http://111.20.33.70/PLTV/88888893/224/3221226556/index.m3u8
陕西地方台,#genre#
城固电视台,http://111.20.33.70/PLTV/88888893/224/3221226920/index.m3u8
洋县电视台-1,http://111.20.33.70/PLTV/88888893/224/3221226938/index.m3u8
佛坪电视台,http://111.20.33.70/PLTV/88888893/224/3221226454/index.m3u8
千阳,http://111.20.33.70/PLTV/88888893/224/3221226945/index.m3u8
宁强1,http://111.20.33.70/PLTV/88888893/224/3221226390/index.m3u8
综合1,http://111.20.33.70/PLTV/88888893/224/3221226385/index.m3u8
综合,http://111.20.33.70/PLTV/88888893/224/3221226952/index.m3u8
宝鸡1HD,http://111.20.33.70/PLTV/88888893/224/3221226383/index.m3u8
宝鸡2HD,http://111.20.33.70/PLTV/88888893/224/3221226384/index.m3u8
临潼影视,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225967/index.m3u8
临潼综合,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225966/index.m3u8
丹凤,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225952/index.m3u8
乾县,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225977/index.m3u8
佛坪,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225947/index.m3u8
佳县1,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225890/index.m3u8
兴平2,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225976/index.m3u8
凤县,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225868/index.m3u8
凤翔文化影视,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225930/index.m3u8
凤翔综合,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225929/index.m3u8
勉县经济,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225946/index.m3u8
勉县综合,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225880/index.m3u8
千阳,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225937/index.m3u8
三原1,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225973/index.m3u8
91,http://111.20.33.70/PLTV/88888893/224/3221226377/index.m3u8
NZTV-1http://111.20.33.70/PLTV/88888893/224/3221226955/index.m3u8
TCTV-1,http://111.20.33.70/PLTV/88888893/224/3221226379/index.m3u8
TCTV-2,http://111.20.33.70/PLTV/88888893/224/3221226380/index.m3u8
LBRTV,http://111.20.33.70/PLTV/88888893/224/3221226000/index.m3u8
延安YATV-1,http://111.20.33.70/PLTV/88888893/224/3221226374/index.m3u8
延安YATV-2公共频道,http://111.20.33.70/PLTV/88888893/224/3221226375/index.m3u8
LYTV-1,http://111.20.33.70/PLTV/88888893/224/3221226322/index.m3u8
咸阳-1,http://111.20.33.70/PLTV/88888893/224/3221226372/index.m3u8
新闻综合,http://111.20.33.70/PLTV/88888893/224/3221226376/index.m3u8
陕西汉中-1,http://111.20.33.70/PLTV/88888893/224/3221226331/index.m3u8
陕西汉中-2,http://111.20.33.70/PLTV/88888893/224/3221225990/index.m3u8
陕西汉中-3,http://111.20.33.70/PLTV/88888893/224/3221225991/index.m3u8
CHC家庭影院,http://111.20.33.70/PLTV/88888893/224/3221226462/index.m3u8
CHC高清电影,http://111.20.33.70/PLTV/88888893/224/3221226463/index.m3u8
CHC动作电影,http://111.20.33.70/PLTV/88888893/224/3221226465/index.m3u8
精彩综艺,http://111.20.33.70/PLTV/88888893/224/3221226009/index.m3u8
精彩体育,http://111.20.33.70/PLTV/88888893/224/3221226010/index.m3u8
精彩电视剧,http://111.20.33.70/PLTV/88888893/224/3221226012/index.m3u8
华阴1台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225856/index.m3u8
